更新时间,#genre#
2024-11-13 06:44:36,url
📺央视频道,#genre#
CCTV-1,http://125.109.8.221:9999/udp/233.50.200.247:5140$订阅源|1920x1080
CCTV-1,http://125.109.8.221:9999/udp/233.50.202.21:5140$订阅源|1920x1080
CCTV-1,http://39.98.201.151:9090/udp/225.1.8.101:8080$订阅源
CCTV-1,http://121.24.98.232:8090/hls/9/index.m3u8$订阅源
CCTV-1,http://111.160.17.2:59901/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://60.12.183.46:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-1,http://125.109.8.221:9999/udp/233.50.201.97:5140$订阅源|1920x1080
CCTV-1,http://125.109.8.221:9999/udp/233.50.201.96:5140$订阅源|1920x1080
CCTV-1,https://api.livednow.org/migu/608807420?sign=gAAAAABnJcJqONXJva4TySqKVwkHLHby6Ne_WRDndhTk_GS6KA-nBZI-nPc8RaYfnLJYnZOi1_gpZX90FSquN6BF0XzcOnsBN41Kfi9k-GihR8VqmFvGDaU3-w7RPpKH_jQp1rc5eqRkG97TL1ZanN0d0KISy_vT_x2wMEchVQyRwJVbcr-5Q8MDl1WIvSdo9b0tlPwCujaaYIRxzFT-4iEr-NoUcuO0hw%3D%3D$订阅源|1920x1080
CCTV-1,http://1732e975z9.zicp.fun:8082/hls/1/index.m3u8$订阅源
CCTV-1,http://117.85.60.122:5316/rtp/239.49.8.129:6000$江苏电信组播源|1920x1080
CCTV-1,http://117.85.60.122:2479/rtp/239.49.8.129:6000$江苏电信组播源|1920x1080
CCTV-1,http://117.85.60.122:9990/rtp/239.49.8.129:6000$江苏电信组播源|1920x1080
CCTV-1,http://117.85.60.122:5316/rtp/239.49.1.1:6000$江苏电信组播源|1920x1080
CCTV-1,http://117.85.60.122:2479/rtp/239.49.1.1:6000$江苏电信组播源|1920x1080
CCTV-1,http://117.85.60.122:9990/rtp/239.49.1.1:6000$江苏电信组播源|1920x1080
CCTV-1,http://www.lebaobei.top:6868/rtp/239.255.30.101:8231$组播源|1920x1080
CCTV-1,http://139.196.151.191:6846/rtp/239.45.3.145:5140$组播源
CCTV-1,http://36.46.98.40:8015/rtp/239.112.205.59:5140$组播源|1920x1080
CCTV-1,http://60.164.128.167:8029/rtp/239.255.30.101:8231$组播源|1920x1080
CCTV-2,http://www.72444165.xyz:5005/itv/ystenlive/1000000001000023315$订阅源
CCTV-2,http://125.109.8.221:9999/udp/233.50.200.25:5140$订阅源|1920x1080
CCTV-2,http://58.216.229.130:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://116.21.86.81:8888/udp/239.77.1.158:5146$订阅源|1920x1080
CCTV-2,http://123.182.60.29:9002/hls/2/index.m3u8$订阅源
CCTV-2,http://123.166.61.70:8003/hls/12/index.m3u8$订阅源
CCTV-2,http://42.48.50.232:9002/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源|1920x1080
CCTV-2,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3$订阅源
CCTV-2,http://124.128.73.58:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://218.13.170.98:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://117.85.60.122:5316/rtp/239.49.8.130:6000$江苏电信组播源|1920x1080
CCTV-2,http://117.85.60.122:2479/rtp/239.49.8.130:6000$江苏电信组播源|1920x1080
CCTV-2,http://117.85.60.122:9990/rtp/239.49.8.130:6000$江苏电信组播源|1920x1080
CCTV-2,http://117.85.60.122:5316/rtp/239.49.1.2:6000$江苏电信组播源|1920x1080
CCTV-2,http://117.85.60.122:2479/rtp/239.49.1.2:6000$江苏电信组播源|1920x1080
CCTV-2,http://117.85.60.122:9990/rtp/239.49.1.2:6000$江苏电信组播源|1920x1080
CCTV-2,http://139.196.151.191:6846/rtp/239.45.1.109:5140$组播源
CCTV-2,http://139.196.151.191:2051/rtp/239.45.1.109:5140$组播源
CCTV-2,http://36.46.98.40:8015/rtp/239.112.205.78:5140$组播源|1920x1080
CCTV-2,http://119.163.199.98:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://183.66.15.146:60901/tsfile/live/0003_1.m3u8?key=txiptv$订阅源|1920x1080
CCTV-3,http://fangke.blueswords.com:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://124.128.73.58:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://116.117.104.39:8096/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/6000000001000022313/1.m3u8?channel-id=wasusyt&Contentid=6000000001000022313&livemode=1&stbId=3$订阅源
CCTV-3,http://123.7.110.43:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,http://39.98.201.151:9090/udp/225.1.8.92:8000$订阅源
CCTV-3,http://218.13.170.98:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,http://58.220.219.14:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,http://123.138.22.30:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,http://117.85.60.122:5316/rtp/239.49.9.31:6000$江苏电信组播源|1920x1080
CCTV-3,http://117.85.60.122:2479/rtp/239.49.9.31:6000$江苏电信组播源|1920x1080
CCTV-3,http://117.85.60.122:9990/rtp/239.49.9.31:6000$江苏电信组播源|1920x1080
